bdew_code,market_function,role_code,company_uid,company_name,company_id,code_row_id
9978652000002,Messstellenbetreiber,MSB,660841,Energie Mittelsachsen GmbH,943,30393
9978653000001,Messstellenbetreiber,MSB,664368,evu zählwerk Abrechnungs- und Servicegesellschaft mbH,24395,30394
9978654000000,Lieferant,LF,664370,Stadtwerke Overath Energie GmbH,24397,30395
9978659000005,Messstellenbetreiber,MSB,662285,Stadtwerke Solingen GmbH,2397,31395
9978661000001,Bilanzkreisverantwortlicher,BKV,662284,Stadtwerke Soest Gesellschaft mit beschränkter Haftung,2396,31398
9978663000009,Bilanzkreisverantwortlicher,BKV,660291,Bürgerwerke eG,390,31400
9978665000007,Bilanzkreisverantwortlicher,BKV,663651,bpure GmbH,8732,31403
9978666000006,Messstellenbetreiber,MSB,662704,WEVG Salzgitter GmbH & Co. KG,2819,31404
9978667000005,Bilanzkreisverantwortlicher,BKV,664385,Ponte Energy Partners GmbH,25404,31405
9978670000000,Messstellenbetreiber,MSB,662294,"Stadtwerke Steinfurt, Gesellschaft mit beschränkter Haftung",2406,31408
9978672000008,Messstellenbetreiber,MSB,664136,OUTLETCITY AG,20185,31411
9978673000007,Einsatzverantwortlicher,EIV,664902,SWISS KRONO TEX GmbH & Co. KG,55686,31412
9978674000006,Netznutzer ohne All-Inklusiv-Vertrag,NN,660376,Denker & Wulf AG,475,31414
9978675000005,Messstellenbetreiber,MSB,664396,DIGImeto GmbH & Co. KG,25415,31415
9978676000004,Bilanzkreisverantwortlicher,BKV,662044,Stadtwerke Geldern GmbH,2156,31417
9978680000008,Messstellenbetreiber,MSB,664397,Stadtwerke Vlotho Stromnetz GmbH,25416,31421
9978682000006,Messstellenbetreiber,MSB,661950,Stadtwerke Bitterfeld-Wolfen GmbH,2060,31423
9978683000005,Messstellenbetreiber,MSB,662042,Stadtwerke Garbsen GmbH,2154,32411
9978684000004,Messstellenbetreiber,MSB,664407,Omexom Renewable Energies Offshore GmbH,26415,32413
9978685000003,Bilanzkreisverantwortlicher,BKV,662140,Stadtwerke Leine-Solling GmbH,2252,32414
9978686000002,Messstellenbetreiber,MSB,664409,Rhegio Dienstleistungen GmbH,26417,32415
9978687000001,Messstellenbetreiber,MSB,662197,Stadtwerke Neustadt a. Rbge. GmbH,2309,32416
9978688000000,Messstellenbetreiber,MSB,660108,Mer Germany GmbH,200,32417
9978690000006,Messstellenbetreiber,MSB,660040,Ahrtal-Werke GmbH,98,33412
9978692000004,Lieferant,LF,663250,E6,3383,33415
9978694000002,Lieferant,LF,664421,Walter Fritz Deutsche Gesellschaft für Energieversorgung mbH,27419,33417
9978697000009,Lieferant,LF,664425,EBERwerk GmbH & Co. KG,27423,33420
9978699000007,Messstellenbetreiber,MSB,662443,Südwestdeutsche Stromhandels GmbH,2555,33422
9978701000002,Lieferant,LF,664431,Niels-Stensen-Kliniken Servicegesellschaft mbH,27429,33424
9978702000001,Messstellenbetreiber,MSB,662170,Stadtwerke Merzig Gesellschaft mit beschränkter Haftung,2282,33425
9978704000009,Messstellenbetreiber,MSB,662001,Stadtwerke Düren GmbH,2111,33427
9978706000007,Lieferant,LF,664437,"Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr",28430,34425
9978707000006,Bilanzkreisverantwortlicher,BKV,664437,"Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr",28430,34426
9978709000004,Bilanzkreisverantwortlicher,BKV,663418,Stadtwerke Kulmbach,3551,34428
9978713000008,Lieferant,LF,664444,LE Energy Solutions GmbH,28437,34433
9978714000007,Messstellenbetreiber,MSB,664445,Stadtwerke Service Meerbusch Willich GmbH & Co. KG,28438,34435
9978716000005,Bilanzkreisverantwortlicher,BKV,664066,EINHUNDERT Energie GmbH,19116,34437
9978717000004,Messstellenbetreiber,MSB,664394,Stromnetz Pullach GmbH,25413,34438
9978719000002,Lieferant,LF,664447,aWATTar Deutschland GmbH,28440,34440
9978720000009,Bilanzkreisverantwortlicher,BKV,664447,aWATTar Deutschland GmbH,28440,34442
9978722000007,Lieferant,LF,664452,BES - Badische Energie-Servicegesellschaft mbH,28445,34444
9978723000006,Messstellenbetreiber,MSB,664443,GIG energy services GmbH,28436,34445
9978726000003,Lieferant,LF,664456,Stadtwerke Torgelow Gesellschaft mit beschränkter Haftung,28449,34448
9978727000002,Bilanzkreisverantwortlicher,BKV,661720,Raiffeisen Energie GmbH & Co. KG,1828,34449
9978728000001,Bilanzkreisverantwortlicher,BKV,664456,Stadtwerke Torgelow Gesellschaft mit beschränkter Haftung,28449,34450
9978729000000,Netznutzer ohne All-Inklusiv-Vertrag,NN,664460,Turck Beierfeld GmbH,29441,35435
9978730000007,Bilanzkreisverantwortlicher,BKV,662466,SWK Stadtwerke Kaiserslautern Versorgungs-AG,2578,35436
9978731000006,Bilanzkreisverantwortlicher,BKV,664461,SANIA Power AG,29442,35437
9978732000005,Lieferant,LF,664462,Kliniken Lörrach Service GmbH,29443,35438
9978733000004,Bilanzkreisverantwortlicher,BKV,664463,RESPECT ENERGY SPÓLKA AKCYJNA,29444,35439
9978734000003,Bilanzkreisverantwortlicher,BKV,662560,Überlandwerk Leinetal G m b H,2674,35440
9978737000000,Lieferant,LF,664082,Stadtwerke Neckarsulm,19132,35444
9978738000009,Lieferant,LF,664471,Volkswagen Group Charging GmbH,29452,35447
9978739000008,Messstellenbetreiber,MSB,664472,Frankenmetering GmbH & Co. KG,30439,36435
9978745000000,Bilanzkreisverantwortlicher,BKV,660122,abita Energie Otterberg GmbH,216,36441
9978748000007,Messstellenbetreiber,MSB,664469,Stromnetz24 GmbH,29450,36447
9978751000002,Messstellenbetreiber,MSB,664484,Auxilius Services GmbH,30451,36450
9978752000001,Messstellenbetreiber,MSB,664448,Gelsenkirchen Raffinerie Netz GmbH,28441,37435
9978754000009,Netznutzer ohne All-Inklusiv-Vertrag,NN,661376,KOS Energie GmbH,1481,37437
9978755000008,Bilanzkreisverantwortlicher,BKV,664488,Berliner Stadtwerke EnergiePartner GmbH,31448,37438
9978756000007,Bilanzkreisverantwortlicher,BKV,664489,Berliner Stadtwerke KommunalPartner GmbH,31449,37439
9978757000006,Lieferant,LF,661784,"RuhrEnergie GmbH, EVR",1893,37440
9978759000004,Lieferant,LF,664488,Berliner Stadtwerke EnergiePartner GmbH,31448,37443
9978760000001,Lieferant,LF,664489,Berliner Stadtwerke KommunalPartner GmbH,31449,37444
9978761000000,Netznutzer ohne All-Inklusiv-Vertrag,NN,664495,open.INC UG (haftungsbeschränkt),31455,37445
9978763000008,Bilanzkreisverantwortlicher,BKV,663441,sonnen eServices GmbH,3574,37447
9978765000006,Bilanzkreisverantwortlicher,BKV,662049,Stadtwerke Gescher GmbH,2161,37449
9978766000005,Bilanzkreisverantwortlicher,BKV,661092,Gemeindewerke St. Michel-Energie GmbH,1195,37450
9978767000004,Lieferant,LF,664501,renergie GmbH,31461,37451
